ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:00.642552293Z,2022-09-29T08:00:00.642541581Z,10,2,6179,A,N,0,100.000000000,4,130,10712,330044,100.000000000,,4,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.006090171Z,2022-09-29T08:00:01.006079245Z,10,2,6179,A,N,0,104.580000000,100,130,10926,331322,104.580000000,,100,0,1,0,100.000000000,,4,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.006482638Z,2022-09-29T08:00:01.006472537Z,10,2,6179,C,N,0,104.580000000,100,130,10101,331323,100.000000000,,4,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.724857456Z,2022-09-29T08:00:01.724846920Z,10,2,6179,A,N,0,100.000000000,5,130,10536,334932,100.000000000,,9,0,2,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.904462635Z,2022-09-29T08:00:01.904452171Z,10,2,6179,A,N,0,100.000000000,1,130,10464,335438,100.000000000,,10,0,3,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.911638066Z,2022-09-29T08:00:01.911627549Z,10,2,6179,A,N,0,100.000000000,2,130,10517,335483,100.000000000,,12,0,4,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.917075403Z,2022-09-29T08:00:01.917064348Z,10,2,6179,A,N,0,100.850000000,5,130,11055,335510,100.850000000,,5,0,1,0,100.000000000,,12,0,4,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:01.942584484Z,2022-09-29T08:00:01.942573918Z,10,2,6179,A,N,2,99.000000000,5,130,10566,335559,100.850000000,,5,0,1,0,100.000000000,,12,0,4,0,99.000000000,,5,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:05.377326183Z,2022-09-29T08:00:05.377315471Z,10,2,6179,A,N,3,95.000000000,3,130,10712,346098,100.850000000,,5,0,1,0,100.000000000,,12,0,4,0,99.000000000,,5,0,1,0,95.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:05.425330519Z,2022-09-29T08:00:05.425320381Z,10,2,6179,A,N,0,120.000000000,10,130,10138,346335,100.850000000,120.000000000,5,10,1,1,100.000000000,,12,0,4,0,99.000000000,,5,0,1,0,95.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:05.569942660Z,2022-09-29T08:00:05.569932163Z,10,2,6179,A,N,3,98.000000000,5,130,10497,346688,100.850000000,120.000000000,5,10,1,1,100.000000000,,12,0,4,0,99.000000000,,5,0,1,0,98.000000000,,5,0,1,0,95.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:05.889229834Z,2022-09-29T08:00:05.889219035Z,10,2,6179,A,N,1,131.000000000,2,130,10799,347427,100.850000000,120.000000000,5,10,1,1,100.000000000,131.000000000,12,2,4,1,99.000000000,,5,0,1,0,98.000000000,,5,0,1,0,95.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2022-09-29T08:00:06.363754637Z,2022-09-29T08:00:06.363744475Z,10,2,6179,A,N,2,158.000000000,80,130,10162,349103,100.850000000,120.000000000,5,10,1,1,100.000000000,131.000000000,12,2,4,1,99.000000000,158.000000000,5,80,1,1,98.000000000,,5,0,1,0,95.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
