timestamp,bid_px_01,bid_sz_01,ask_px_01,ask_sz_01,bid_px_02,bid_sz_02,ask_px_02,ask_sz_02,bid_px_03,bid_sz_03,ask_px_03,ask_sz_03,bid_px_04,bid_sz_04,ask_px_04,ask_sz_04,bid_px_05,bid_sz_05,ask_px_05,ask_sz_05
2022-09-29 08:00:00.699528720+00:00,86.8,0,96.5,0,83.0,0,112.0,0,80.69,0,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:00.841785139+00:00,86.8,10,96.5,0,83.0,0,112.0,0,80.69,0,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:01.316848091+00:00,86.8,10,96.5,0,83.0,10,112.0,0,80.69,0,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:01.725832895+00:00,86.8,10,96.5,0,83.0,10,112.0,0,80.69,0,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:01.728711803+00:00,86.8,10,96.5,20,83.0,10,112.0,0,80.69,0,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:06.054242368+00:00,86.8,10,96.5,20,83.0,10,112.0,0,80.69,20,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:08.969064696+00:00,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,112.0,0,80.69,0,,0,,0,,0
2022-09-29 08:00:17.542252534+00:00,87.0,3,96.5,20,86.8,10,112.0,6,83.0,10,112.0,0,80.69,20,,0,,0,,0
2022-09-29 08:00:17.542507730+00:00,87.0,3,92.0,53,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,,0,,0,,0
2022-09-29 08:00:18.099969475+00:00,87.0,3,96.5,20,86.8,10,112.0,6,83.0,10,112.0,0,80.69,20,,0,,0,,0
2022-09-29 08:00:18.100119687+00:00,87.0,3,92.0,53,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,,0,,0,,0
2022-09-29 08:00:20.107004278+00:00,87.0,3,96.5,20,86.8,10,112.0,6,83.0,10,112.0,0,80.69,20,,0,,0,,0
2022-09-29 08:00:20.107221574+00:00,87.0,3,92.0,53,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,,0,,0,,0
2022-09-29 08:00:21.865602764+00:00,86.8,10,92.0,53,83.0,10,96.5,20,80.69,20,112.0,6,80.69,0,,0,,0,,0
2022-09-29 08:00:21.865774255+00:00,87.0,3,92.0,53,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,,0,,0,,0
2022-09-29 08:00:22.378007620+00:00,86.8,10,92.0,53,83.0,10,96.5,20,80.69,20,112.0,6,80.69,0,,0,,0,,0
2022-09-29 08:00:22.378124114+00:00,87.0,3,92.0,53,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,,0,,0,,0
2022-09-29 08:00:23.137055182+00:00,87.0,3,96.5,20,86.8,10,112.0,6,83.0,10,112.0,0,80.69,20,,0,,0,,0
2022-09-29 08:00:23.137274227+00:00,87.0,3,92.0,53,86.8,10,96.5,20,83.0,10,112.0,6,80.69,20,,0,,0,,0
2022-09-29 08:00:24.298638840+00:00,86.8,10,92.0,53,83.0,10,96.5,20,80.69,20,112.0,6,80.69,0,,0,,0,,0
