ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:20.625768154Z,2022-09-29T08:00:20.625758054Z,10,2,532,C,N,0,228.660000000,2,130,10100,386232,219.980000000,229.990000000,6,2,1,1,,258.250000000,0,6,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:20.625974498Z,2022-09-29T08:00:20.625964339Z,10,2,532,A,N,0,228.630000000,2,130,10159,386235,228.630000000,229.990000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:22.588499143Z,2022-09-29T08:00:22.588488839Z,10,2,532,C,N,0,229.990000000,2,130,10304,390084,228.630000000,258.250000000,2,6,1,1,219.980000000,,6,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:22.588996022Z,2022-09-29T08:00:22.588985358Z,10,2,532,A,N,0,229.980000000,2,130,10664,390088,228.630000000,229.980000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:23.137956477Z,2022-09-29T08:00:23.137946329Z,10,2,532,C,N,0,228.630000000,2,130,10148,392582,219.980000000,229.980000000,6,2,1,1,,258.250000000,0,6,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:23.138329669Z,2022-09-29T08:00:23.138318808Z,10,2,532,A,N,0,228.600000000,2,130,10861,392588,228.600000000,229.980000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:27.324333168Z,2022-09-29T08:00:27.324322874Z,10,2,532,C,N,0,228.600000000,2,130,10294,403130,219.980000000,229.980000000,6,2,1,1,,258.250000000,0,6,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:27.482794478Z,2022-09-29T08:00:27.482783811Z,10,2,532,C,N,0,229.980000000,2,130,10667,403446,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:27.483115255Z,2022-09-29T08:00:27.483104955Z,10,2,532,A,N,0,228.580000000,2,130,10300,403449,228.580000000,258.250000000,2,6,1,1,219.980000000,,6,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:27.483363926Z,2022-09-29T08:00:27.483353689Z,10,2,532,A,N,0,229.930000000,2,130,10237,403451,228.580000000,229.930000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
