ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:00.107292301Z,2022-09-29T08:00:00.107281551Z,10,2,10986,A,N,0,284.000000000,100,130,10750,326299,,284.000000000,0,100,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.477792017Z,2022-09-29T08:00:00.477781304Z,10,2,10986,A,N,0,281.110000000,97,130,10713,328854,281.110000000,284.000000000,97,100,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.647983007Z,2022-09-29T08:00:00.647971682Z,10,2,10986,A,N,0,282.160000000,100,130,11325,330061,282.160000000,284.000000000,100,100,1,1,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648005306Z,2022-09-29T08:00:00.647994568Z,10,2,10986,A,N,0,282.160000000,100,130,10738,330062,282.160000000,284.000000000,200,100,2,1,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648027248Z,2022-09-29T08:00:00.648016678Z,10,2,10986,A,N,0,282.180000000,100,130,10570,330063,282.180000000,284.000000000,100,100,1,1,282.160000000,,200,0,2,0,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648048073Z,2022-09-29T08:00:00.648037407Z,10,2,10986,A,N,0,282.200000000,100,130,10666,330064,282.200000000,284.000000000,100,100,1,1,282.180000000,,100,0,1,0,282.160000000,,200,0,2,0,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648071184Z,2022-09-29T08:00:00.648060493Z,10,2,10986,A,N,0,282.220000000,100,130,10691,330065,282.220000000,284.000000000,100,100,1,1,282.200000000,,100,0,1,0,282.180000000,,100,0,1,0,282.160000000,,200,0,2,0,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648183137Z,2022-09-29T08:00:00.648173200Z,10,2,10986,C,N,3,282.160000000,100,130,9937,330066,282.220000000,284.000000000,100,100,1,1,282.200000000,,100,0,1,0,282.180000000,,100,0,1,0,282.160000000,,100,0,1,0,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648492291Z,2022-09-29T08:00:00.648482157Z,10,2,10986,C,N,3,282.160000000,100,130,10134,330067,282.220000000,284.000000000,100,100,1,1,282.200000000,,100,0,1,0,282.180000000,,100,0,1,0,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2022-09-29T08:00:00.648775167Z,2022-09-29T08:00:00.648765224Z,10,2,10986,C,N,2,282.180000000,100,130,9943,330068,282.220000000,284.000000000,100,100,1,1,282.200000000,,100,0,1,0,281.110000000,,97,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
