timestamp,bid_px_01,bid_sz_01,ask_px_01,ask_sz_01,bid_px_02,bid_sz_02,ask_px_02,ask_sz_02,bid_px_03,bid_sz_03,ask_px_03,ask_sz_03,bid_px_04,bid_sz_04,ask_px_04,ask_sz_04,bid_px_05,bid_sz_05,ask_px_05,ask_sz_05
2022-09-29 08:00:15.315289249+00:00,219.98,0,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:16.940382239+00:00,219.98,0,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:17.426269074+00:00,219.98,6,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:17.426541485+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:17.938613863+00:00,219.98,0,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:17.938746540+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:18.487104714+00:00,219.98,6,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:18.487326456+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:19.102155260+00:00,219.98,6,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:19.102285036+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:20.625758054+00:00,219.98,0,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:20.625964339+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:22.588488839+00:00,219.98,6,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:22.588985358+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:23.137946329+00:00,219.98,0,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:23.138318808+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:27.324322874+00:00,219.98,0,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:27.482783811+00:00,219.98,0,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:27.483104955+00:00,219.98,6,258.25,0,,0,,0,,0,,0,,0,,0,,0,,0
2022-09-29 08:00:27.483353689+00:00,219.98,6,258.25,6,,0,,0,,0,,0,,0,,0,,0,,0
