timestamp,bid_px_01,bid_sz_01,ask_px_01,ask_sz_01,bid_px_02,bid_sz_02,ask_px_02,ask_sz_02,bid_px_03,bid_sz_03,ask_px_03,ask_sz_03,bid_px_04,bid_sz_04,ask_px_04,ask_sz_04,bid_px_05,bid_sz_05,ask_px_05,ask_sz_05
2022-09-29 08:00:00.642541581+00:00,100.0,0,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.006079245+00:00,100.0,4,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.006472537+00:00,100.0,0,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.724846920+00:00,100.0,0,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.904452171+00:00,100.0,0,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.911627549+00:00,100.0,0,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.917064348+00:00,100.0,12,131.0,0,99.0,0,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:01.942573918+00:00,100.0,12,131.0,0,99.0,5,158.0,0,95.0,0,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:05.377315471+00:00,100.0,12,131.0,0,99.0,5,158.0,0,95.0,3,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:05.425320381+00:00,100.0,12,131.0,0,99.0,5,158.0,0,95.0,3,158.0,0,95.0,0,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:05.569932163+00:00,100.0,12,131.0,0,99.0,5,158.0,0,98.0,5,158.0,0,95.0,3,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:05.889219035+00:00,100.0,12,131.0,2,99.0,5,158.0,0,98.0,5,158.0,0,95.0,3,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:06.363744475+00:00,100.0,12,131.0,2,99.0,5,158.0,80,98.0,5,158.0,0,95.0,3,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:06.692444920+00:00,100.0,12,131.0,2,99.0,5,135.0,3,98.0,5,158.0,80,95.0,3,170.0,0,95.0,0,170.0,0
2022-09-29 08:00:08.134446741+00:00,100.85,5,131.0,2,100.0,12,135.0,3,99.0,5,158.0,80,98.0,5,170.0,0,95.0,3,170.0,0
2022-09-29 08:00:08.135048851+00:00,102.55,25,131.0,2,100.85,5,135.0,3,100.0,12,158.0,80,99.0,5,170.0,0,98.0,5,170.0,0
2022-09-29 08:00:08.964270806+00:00,102.55,25,131.0,2,100.85,5,135.0,3,100.0,12,158.0,80,99.0,5,170.0,0,98.0,5,170.0,0
2022-09-29 08:00:12.830516365+00:00,102.55,25,131.0,2,100.85,5,135.0,3,100.0,12,158.0,80,99.0,5,170.0,5,98.0,5,170.0,0
2022-09-29 08:00:13.523650250+00:00,102.55,25,120.0,10,100.85,5,131.0,2,100.0,12,135.0,3,99.0,5,158.0,80,98.0,5,170.0,5
2022-09-29 08:00:14.964170926+00:00,102.55,25,120.0,10,100.85,5,121.0,16,100.0,12,131.0,2,99.0,5,135.0,3,98.0,5,158.0,80
