timestamp,bid_px_01,bid_sz_01,ask_px_01,ask_sz_01,bid_px_02,bid_sz_02,ask_px_02,ask_sz_02,bid_px_03,bid_sz_03,ask_px_03,ask_sz_03,bid_px_04,bid_sz_04,ask_px_04,ask_sz_04,bid_px_05,bid_sz_05,ask_px_05,ask_sz_05
2022-09-29 08:00:00.107281551+00:00,281.11,0,288.0,0,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.477781304+00:00,281.11,0,288.0,0,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.647971682+00:00,281.11,97,288.0,0,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.647994568+00:00,281.11,97,288.0,0,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.648016678+00:00,282.16,200,288.0,0,281.11,97,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.648037407+00:00,282.18,100,288.0,0,282.16,200,288.0,0,281.11,97,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.648060493+00:00,282.2,100,288.0,0,282.18,100,288.0,0,282.16,200,335.0,0,281.11,97,335.0,0,,0,,0
2022-09-29 08:00:00.648173200+00:00,282.2,100,288.0,0,282.18,100,288.0,0,282.16,100,335.0,0,281.11,97,335.0,0,,0,,0
2022-09-29 08:00:00.648482157+00:00,282.2,100,288.0,0,282.18,100,288.0,0,281.11,97,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.648765224+00:00,282.2,100,288.0,0,281.11,97,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.648886239+00:00,281.11,97,288.0,0,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.649096034+00:00,281.11,0,288.0,0,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:00.883158853+00:00,281.11,0,288.0,15000,281.11,0,288.0,0,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:01.512618225+00:00,281.11,0,285.5,31,281.11,0,288.0,15000,281.11,0,335.0,0,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:01.556764303+00:00,281.11,0,285.5,31,281.11,0,288.0,15000,281.11,0,335.0,3,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:01.609881490+00:00,270.0,1,285.5,31,281.11,0,288.0,15000,281.11,0,335.0,3,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:01.610069483+00:00,270.0,1,285.5,31,260.0,2,288.0,15000,281.11,0,335.0,3,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:01.638963997+00:00,272.0,1,285.5,31,270.0,1,288.0,15000,260.0,2,335.0,3,281.11,0,335.0,0,,0,,0
2022-09-29 08:00:01.641058884+00:00,275.0,1,285.5,31,272.0,1,288.0,15000,270.0,1,335.0,3,260.0,2,335.0,0,,0,,0
2022-09-29 08:00:01.641246881+00:00,275.0,1,285.5,31,272.0,1,288.0,15000,270.0,1,296.0,5,260.0,2,335.0,3,,0,,0
